name,year,oil_prod_mill_sm3,deflator,price,price_l1,price_l2,price_l3,price_l4,price_l5,price_l6,price_l7,price_l8,real_invest_mill_nok_2010,in_place_oil_mill_sm3,recoverable_oil,pdo_approved_date,producing_date,shutdown_date,shutdown,prod_year,cost_index
SNORRE,2003,13.598,85.6881251271034,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,1966.4335023092126,556.0,259.5,27.05.1988,03.08.1992,,False,11,85.64166666666667
SNORRE,2004,11.539,88.04447180829193,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,1936.5213567439735,556.0,259.5,27.05.1988,03.08.1992,,False,12,103.525
SNORRE,2005,8.956,90.87712250590259,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,1710.001326130309,556.0,259.5,27.05.1988,03.08.1992,,False,13,135.09166666666667
SNORRE,2006,8.315,93.6695321591134,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,1840.5130892204065,556.0,259.5,27.05.1988,03.08.1992,,False,14,156.12500000000003
SNORRE,2007,8.382,96.1620284975459,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,3296.5194781440155,556.0,259.5,27.05.1988,03.08.1992,,False,15,152.07500000000005
SNORRE,2008,8.472000000000001,98.04837554103632,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,2986.2809902184867,556.0,259.5,27.05.1988,03.08.1992,,False,16,210.6916666666667
SNORRE,2009,6.006,98.79296441592571,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,3759.3770183510082,556.0,259.5,27.05.1988,03.08.1992,,False,17,209.725
SNORRE,2010,5.83,100.0,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,3905.0,556.0,259.5,27.05.1988,03.08.1992,,False,18,278.4
SNORRE,2011,5.517,102.06429983160999,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,2927.5662547332704,556.0,259.5,27.05.1988,03.08.1992,,False,19,359.6083333333333
SNORRE,2012,4.45,103.896811080026,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,2683.431734832128,556.0,259.5,27.05.1988,03.08.1992,,False,20,385.175
SNORRE,2013,5.088,105.444891271546,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,4345.3978137264585,556.0,259.5,27.05.1988,03.08.1992,,False,21,384.4666666666667
SNORRE,2014,5.619,106.980012591836,92.56246184148432,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,0.0,556.0,259.5,27.05.1988,03.08.1992,,False,22,360.5166666666667
SNØHVIT,2007,0.0,96.1620284975459,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,246.45902723032543,0.0,0.0,07.03.2002,20.08.2007,,False,0,152.07500000000005
SNØHVIT,2008,0.0,98.04837554103632,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,27.537427163899984,0.0,0.0,07.03.2002,20.08.2007,,False,1,210.6916666666667
SNØHVIT,2009,0.0,98.79296441592571,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,58.708634104566094,0.0,0.0,07.03.2002,20.08.2007,,False,2,209.725
SNØHVIT,2010,0.0,100.0,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,100.0,0.0,0.0,07.03.2002,20.08.2007,,False,3,278.4
SNØHVIT,2011,0.0,102.06429983160999,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,130.31001066918506,0.0,0.0,07.03.2002,20.08.2007,,False,4,359.6083333333333
SNØHVIT,2012,0.0,103.896811080026,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,123.19916142701305,0.0,0.0,07.03.2002,20.08.2007,,False,5,385.175
SNØHVIT,2013,0.0,105.444891271546,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,495.99368323416354,0.0,0.0,07.03.2002,20.08.2007,,False,6,384.4666666666667
SNØHVIT,2014,0.0,106.980012591836,92.56246184148432,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,0.0,0.0,0.0,07.03.2002,20.08.2007,,False,7,360.5166666666667
STATFJORD,1979,0.259,40.2150184274818,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,37.21397886181544,40.8371480224692,12.644433252233846,10.05023671087586,9.470447100201039,8178.536598039676,859.8,573.7,16.06.1976,24.11.1979,,False,0,88.62973760932944
STATFJORD,1980,3.429,43.84113871045221,84.00785445661639,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,37.21397886181544,40.8371480224692,12.644433252233846,10.05023671087586,6927.283572759815,859.8,573.7,16.06.1976,24.11.1979,,False,1,90.16697588126159
